Test Case ID,Title,State,Area,Created Date,Similarity Score,Reasoning,Duplicate Classification,Related Test IDs,Suggested Update
287380,"Update POB Flag, Disb Grid: Expert Admin Option Unchecked, POB Flag Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-05-20T21:10:33.91Z,0.8452,High semantic similarity (0.845); Directly tests POB flag updates based on the same firm setting and bill amount logic mentioned in the bug. Most relevant as it specifically covers the scenario where the admin option is unchecked.,DISTINCT,,
287384,"Update POB Flag, Disb Grid: Expert Admin Option Checked, POB Flag NOT Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-05-20T21:18:19.163Z,0.8390,High semantic similarity (0.839); Tests the opposite scenario (admin option checked) which helps ensure the fix doesn't break existing functionality.,"DISTINCT, OVERLAPPING","287380, 287387, 287385",
287849,"POB: Revalue Disb, Expert Admin option is enabled: PoB flag is not updated upon revalue/mass revalue disb.",Design,ExpertSuite\Billing\Billing App\Application\Editing\Edits\Revalue\Time,2025-06-06T16:43:13.52Z,0.8299,High semantic similarity (0.830),"DISTINCT, OVERLAPPING","287495, 287848, 287494",
291356,"Update POB Flag, Edit Disb Card: Expert Admin Option Checked, POB Flag NOT Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-08-08T02:19:40.53Z,0.8205,High semantic similarity (0.821),"DISTINCT, OVERLAPPING","291730, 287380",
287385,"Update POB Flag, Paperless Disb Grid: Expert Admin Option Unchecked, POB Flag Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-05-20T21:50:56.78Z,0.8162,High semantic similarity (0.816),DISTINCT,,
287848,"POB: Revalue Disb, Expert Admin option is disabled: PoB flag is updated upon revalue/mass revalue disb.",Design,ExpertSuite\Billing\Billing App\Application\Editing\Edits\Revalue\Time,2025-06-06T16:42:33.47Z,0.8144,High semantic similarity (0.814),"DISTINCT, OVERLAPPING","287494, 287849, 287495",
287495,"POB: Revalue Time, Expert Admin option is enabled: PoB flag is not updated upon revalue/mass revalue time.",Design,ExpertSuite\Billing\Billing App\Application\Editing\Edits\Revalue\Time,2025-05-27T20:44:14.423Z,0.8144,High semantic similarity (0.814),"DISTINCT, OVERLAPPING","287849, 287494, 287848",
267066,Billing APIs - Disbursements/Split - Split parent has zero amount when splitting by amount ,Design,ExpertSuite\Billing\Billing App\Billing API,2022-12-27T22:25:22.407Z,0.8137,"High semantic similarity (0.814); Tests disbursement splitting functionality with zero amounts, which is directly related to the POB flag behavior being fixed in this bug.",DISTINCT,,
267376,Billing APIs - Bill/BillPayors -Bill ID + billPayor ID + OnAccountDisbursements - Split Prebill - Main Payor,Design,ExpertSuite\Billing\Billing App\Billing API,2023-01-06T01:15:12.217Z,0.8126,High semantic similarity (0.813),OVERLAPPING,267371,
291712,"Update POB Flag, Mass Edit Disb: Expert Admin Option Checked, POB Flag NOT Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-08-27T03:47:23.047Z,0.8110,High semantic similarity (0.811),OVERLAPPING,291731,
267371,Billing APIs - Bill/BillPayors -Bill ID + billPayor ID + OnAccountFees - Split Prebill - Main Payor,Design,ExpertSuite\Billing\Billing App\Billing API,2023-01-06T00:59:24.767Z,0.8083,High semantic similarity (0.808),OVERLAPPING,267376,
287494,"POB: Revalue Time, Expert Admin option is disabled: PoB flag is updated upon revalue/mass revalue time.",Design,ExpertSuite\Billing\Billing App\Application\Editing\Edits\Revalue\Time,2025-05-27T20:42:37.65Z,0.8082,High semantic similarity (0.808),"DISTINCT, OVERLAPPING","287848, 287495, 287849",
291730,"Update POB Flag, Edit Time Card: Expert Admin Option Checked, POB Flag NOT Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-08-29T20:09:27.513Z,0.8077,High semantic similarity (0.808),"DISTINCT, OVERLAPPING","291356, 287380",
287387,"Update POB Flag, Paperless Disb Grid: Expert Admin Option Checked, POB Flag NOT Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-05-20T22:31:18.577Z,0.8073,High semantic similarity (0.807),"DISTINCT, OVERLAPPING","287385, 287384",
291731,"Update POB Flag, Mass Edit Time: Expert Admin Option Checked, POB Flag NOT Updated Upon Edit",Design,ExpertSuite\Billing\Billing App,2025-08-29T20:10:16.043Z,0.8054,High semantic similarity (0.805),OVERLAPPING,291712,
